dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,null_bin_count,savaux_bin,savaux_error,gls_offpacket_fixed_bin,gls_offpacket_fixed_error,gls_packet_null_bin,gls_packet_null_error,gls_symbol_null_bin,gls_symbol_null_error
0_0_0_10_14_32,-24.0,44,6,3,11,718,1001,562,1,562,1,562,1,562,1
0_0_0_10_14_32,-24.0,44,6,4,12,107,1000,107,0,107,0,107,0,107,0
0_0_0_10_14_32,-24.0,44,6,5,13,468,1000,468,0,468,0,468,0,468,0
0_0_0_10_14_32,-24.0,44,6,6,14,89,1000,89,0,89,0,89,0,89,0
0_0_0_10_14_32,-24.0,44,6,7,15,713,1000,713,0,713,0,713,0,713,0
0_0_0_10_14_32,-24.0,44,6,8,16,865,1000,865,0,865,0,865,0,865,0
0_0_0_10_14_32,-24.0,44,6,9,17,492,1000,492,0,492,0,492,0,492,0
0_0_0_10_14_32,-24.0,44,6,10,18,765,1000,765,0,765,0,765,0,765,0
0_0_0_10_14_32,-24.0,44,6,11,19,1023,1001,1023,0,1023,0,1023,0,1023,0
0_0_0_10_14_32,-24.0,44,6,12,20,597,1000,597,0,597,0,597,0,597,0
0_0_0_10_14_32,-24.0,44,6,13,21,562,1002,562,0,562,0,562,0,562,0
0_0_0_10_14_32,-24.0,44,6,14,22,478,1000,478,0,478,0,478,0,478,0
0_0_0_10_14_32,-24.0,44,6,15,23,267,1000,267,0,267,0,267,0,267,0
0_0_0_10_14_32,-24.0,44,6,16,24,917,1000,917,0,917,0,917,0,917,0
0_0_0_10_14_32,-24.0,44,6,17,25,656,1000,656,0,656,0,656,0,656,0
0_0_0_10_14_32,-24.0,44,6,18,26,889,1000,889,0,889,0,889,0,889,0
0_0_0_10_14_32,-24.0,44,6,19,27,510,1000,510,0,510,0,510,0,510,0
0_0_0_10_14_32,-24.0,44,6,20,28,860,1002,860,0,860,0,860,0,860,0
0_0_0_10_14_32,-24.0,44,6,21,29,553,1000,553,0,553,0,553,0,553,0
0_0_0_10_14_32,-24.0,44,6,22,30,629,1000,586,1,586,1,586,1,586,1
0_0_0_10_14_32,-24.0,44,6,23,31,759,1000,759,0,759,0,759,0,759,0
0_0_0_10_14_32,-24.0,44,6,24,32,874,1000,874,0,874,0,874,0,874,0
0_0_0_10_14_32,-24.0,44,6,25,33,720,1000,720,0,720,0,720,0,720,0
0_0_0_10_14_32,-24.0,44,6,26,34,314,1000,314,0,314,0,314,0,314,0
0_0_0_10_14_32,-24.0,44,6,27,35,602,1000,602,0,602,0,602,0,602,0
0_0_0_10_14_32,-24.0,44,6,28,36,7,1000,7,0,7,0,7,0,7,0
0_0_0_10_14_32,-24.0,44,6,29,37,610,1000,490,1,490,1,490,1,490,1
0_0_0_10_14_32,-24.0,44,6,30,38,791,1000,791,0,791,0,791,0,791,0
0_0_0_10_14_32,-24.0,44,6,31,39,928,1000,928,0,928,0,928,0,928,0
0_0_0_10_14_32,-24.0,44,6,32,40,760,1000,760,0,760,0,760,0,760,0
0_0_0_10_14_32,-24.0,44,6,33,41,584,1000,584,0,584,0,584,0,584,0
0_0_0_10_14_32,-24.0,44,6,34,42,932,1001,932,0,932,0,932,0,932,0
0_0_0_10_14_32,-24.0,44,7,0,8,222,1000,222,0,222,0,222,0,222,0
0_0_0_10_14_32,-24.0,44,7,1,9,711,1000,711,0,711,0,711,0,711,0
0_0_0_10_14_32,-24.0,44,7,2,10,922,1000,922,0,922,0,922,0,922,0
0_0_0_10_14_32,-24.0,44,7,3,11,691,1000,691,0,691,0,691,0,691,0
0_0_0_10_14_32,-24.0,44,7,4,12,107,1000,107,0,107,0,107,0,107,0
0_0_0_10_14_32,-24.0,44,7,5,13,468,1000,468,0,468,0,468,0,468,0
0_0_0_10_14_32,-24.0,44,7,6,14,89,1000,89,0,89,0,89,0,89,0
0_0_0_10_14_32,-24.0,44,7,7,15,713,1000,713,0,713,0,713,0,713,0
0_0_0_10_14_32,-24.0,44,7,8,16,865,1002,865,0,865,0,865,0,865,0
0_0_0_10_14_32,-24.0,44,7,9,17,492,1000,492,0,492,0,492,0,492,0
0_0_0_10_14_32,-24.0,44,7,10,18,765,1000,765,0,765,0,765,0,765,0
0_0_0_10_14_32,-24.0,44,7,11,19,1023,1000,1023,0,1023,0,1023,0,1023,0
0_0_0_10_14_32,-24.0,44,7,12,20,597,1002,597,0,597,0,597,0,597,0
0_0_0_10_14_32,-24.0,44,7,13,21,562,1000,562,0,562,0,562,0,562,0
0_0_0_10_14_32,-24.0,44,7,14,22,478,1000,478,0,478,0,478,0,478,0
0_0_0_10_14_32,-24.0,44,7,15,23,267,1000,267,0,267,0,267,0,267,0
0_0_0_10_14_32,-24.0,44,7,16,24,917,1000,917,0,917,0,917,0,917,0
0_0_0_10_14_32,-24.0,44,7,17,25,656,1000,656,0,656,0,656,0,656,0
0_0_0_10_14_32,-24.0,44,7,18,26,889,1000,800,1,800,1,800,1,800,1
0_0_0_10_14_32,-24.0,44,7,19,27,510,1002,510,0,510,0,510,0,510,0
0_0_0_10_14_32,-24.0,44,7,20,28,860,1000,860,0,860,0,860,0,860,0
0_0_0_10_14_32,-24.0,44,7,21,29,553,1000,553,0,553,0,553,0,553,0
0_0_0_10_14_32,-24.0,44,7,22,30,629,1002,629,0,629,0,629,0,629,0
0_0_0_10_14_32,-24.0,44,7,23,31,759,1000,759,0,759,0,759,0,759,0
0_0_0_10_14_32,-24.0,44,7,24,32,874,1000,874,0,874,0,874,0,874,0
0_0_0_10_14_32,-24.0,44,7,25,33,720,1001,115,1,115,1,115,1,115,1
0_0_0_10_14_32,-24.0,44,7,26,34,314,1000,314,0,314,0,314,0,314,0
0_0_0_10_14_32,-24.0,44,7,27,35,602,1000,602,0,602,0,602,0,602,0
0_0_0_10_14_32,-24.0,44,7,28,36,7,1000,7,0,7,0,7,0,7,0
0_0_0_10_14_32,-24.0,44,7,29,37,610,1000,610,0,183,1,183,1,183,1
0_0_0_10_14_32,-24.0,44,7,30,38,807,1000,807,0,807,0,807,0,807,0
0_0_0_10_14_32,-24.0,44,7,31,39,921,1001,921,0,921,0,921,0,921,0
0_0_0_10_14_32,-24.0,44,7,32,40,740,1000,740,0,740,0,740,0,740,0
0_0_0_10_14_32,-24.0,44,7,33,41,587,1000,587,0,587,0,587,0,587,0
0_0_0_10_14_32,-24.0,44,7,34,42,932,1000,743,1,743,1,743,1,743,1
0_0_0_10_14_32,-25.0,42,0,0,8,803,1000,711,1,711,1,711,1,711,1
0_0_0_10_14_32,-25.0,42,0,1,9,711,1000,278,1,278,1,278,1,278,1
0_0_0_10_14_32,-25.0,42,0,2,10,922,1000,922,0,922,0,922,0,922,0
0_0_0_10_14_32,-25.0,42,0,3,11,718,1001,265,1,265,1,265,1,265,1
0_0_0_10_14_32,-25.0,42,0,4,12,107,1000,599,1,599,1,599,1,599,1
0_0_0_10_14_32,-25.0,42,0,5,13,468,1000,468,0,468,0,468,0,468,0
0_0_0_10_14_32,-25.0,42,0,6,14,89,1000,633,1,633,1,633,1,633,1
0_0_0_10_14_32,-25.0,42,0,7,15,713,1000,501,1,501,1,501,1,501,1
0_0_0_10_14_32,-25.0,42,0,8,16,865,1000,171,1,171,1,171,1,171,1
0_0_0_10_14_32,-25.0,42,0,9,17,492,1000,193,1,193,1,193,1,193,1
0_0_0_10_14_32,-25.0,42,0,10,18,765,1002,896,1,896,1,896,1,896,1
0_0_0_10_14_32,-25.0,42,0,11,19,1023,1000,693,1,693,1,693,1,693,1
0_0_0_10_14_32,-25.0,42,0,12,20,597,1000,886,1,539,1,886,1,886,1
0_0_0_10_14_32,-25.0,42,0,13,21,562,1000,262,1,262,1,262,1,262,1
0_0_0_10_14_32,-25.0,42,0,14,22,478,1001,839,1,839,1,839,1,839,1
0_0_0_10_14_32,-25.0,42,0,15,23,267,1000,437,1,437,1,437,1,437,1
0_0_0_10_14_32,-25.0,42,0,16,24,917,1000,984,1,984,1,984,1,984,1
0_0_0_10_14_32,-25.0,42,0,17,25,656,1000,224,1,224,1,224,1,224,1
0_0_0_10_14_32,-25.0,42,0,18,26,889,1000,553,1,553,1,553,1,553,1
0_0_0_10_14_32,-25.0,42,0,19,27,510,1000,633,1,633,1,633,1,633,1
0_0_0_10_14_32,-25.0,42,0,20,28,860,1000,340,1,340,1,340,1,340,1
0_0_0_10_14_32,-25.0,42,0,21,29,553,1000,244,1,244,1,244,1,244,1
0_0_0_10_14_32,-25.0,42,0,22,30,629,1000,624,1,624,1,624,1,624,1
0_0_0_10_14_32,-25.0,42,0,23,31,759,1000,946,1,946,1,946,1,946,1
0_0_0_10_14_32,-25.0,42,0,24,32,874,1000,877,1,877,1,877,1,877,1
0_0_0_10_14_32,-25.0,42,0,25,33,720,1000,256,1,256,1,256,1,40,1
0_0_0_10_14_32,-25.0,42,0,26,34,314,1000,757,1,757,1,757,1,757,1
0_0_0_10_14_32,-25.0,42,0,27,35,602,1000,692,1,692,1,692,1,991,1
0_0_0_10_14_32,-25.0,42,0,28,36,7,1002,769,1,769,1,769,1,769,1
0_0_0_10_14_32,-25.0,42,0,29,37,610,1000,564,1,564,1,564,1,564,1
0_0_0_10_14_32,-25.0,42,0,30,38,826,1000,42,1,42,1,42,1,42,1
0_0_0_10_14_32,-25.0,42,0,31,39,928,1000,855,1,855,1,855,1,855,1
0_0_0_10_14_32,-25.0,42,0,32,40,761,1001,211,1,211,1,211,1,211,1
0_0_0_10_14_32,-25.0,42,0,33,41,590,1002,794,1,794,1,794,1,794,1
0_0_0_10_14_32,-25.0,42,0,34,42,936,1000,338,1,338,1,338,1,338,1
0_0_0_10_14_32,-25.0,42,2,0,8,803,1003,803,0,803,0,803,0,803,0
0_0_0_10_14_32,-25.0,42,2,1,9,826,1000,826,0,826,0,826,0,826,0
0_0_0_10_14_32,-25.0,42,2,2,10,922,1000,922,0,922,0,922,0,922,0
0_0_0_10_14_32,-25.0,42,2,3,11,718,1001,718,0,718,0,718,0,718,0
0_0_0_10_14_32,-25.0,42,2,4,12,86,1000,86,0,86,0,86,0,86,0
0_0_0_10_14_32,-25.0,42,2,5,13,468,1000,468,0,468,0,468,0,468,0
0_0_0_10_14_32,-25.0,42,2,6,14,89,1000,182,1,89,0,182,1,182,1
0_0_0_10_14_32,-25.0,42,2,7,15,713,1000,713,0,713,0,713,0,713,0
0_0_0_10_14_32,-25.0,42,2,8,16,865,1000,865,0,865,0,865,0,865,0
0_0_0_10_14_32,-25.0,42,2,9,17,492,1000,492,0,492,0,492,0,492,0
0_0_0_10_14_32,-25.0,42,2,10,18,765,1000,765,0,765,0,765,0,765,0
0_0_0_10_14_32,-25.0,42,2,11,19,1023,1000,1023,0,1023,0,1023,0,1023,0
0_0_0_10_14_32,-25.0,42,2,12,20,597,1000,597,0,597,0,597,0,597,0
0_0_0_10_14_32,-25.0,42,2,13,21,562,1000,562,0,562,0,562,0,562,0
0_0_0_10_14_32,-25.0,42,2,14,22,478,1000,478,0,478,0,478,0,478,0
0_0_0_10_14_32,-25.0,42,2,15,23,267,1000,267,0,267,0,267,0,267,0
0_0_0_10_14_32,-25.0,42,2,16,24,917,1000,917,0,917,0,917,0,917,0
0_0_0_10_14_32,-25.0,42,2,17,25,656,1000,656,0,656,0,656,0,656,0
0_0_0_10_14_32,-25.0,42,2,18,26,889,1000,889,0,889,0,889,0,889,0
0_0_0_10_14_32,-25.0,42,2,19,27,510,1000,510,0,510,0,510,0,510,0
0_0_0_10_14_32,-25.0,42,2,20,28,860,1000,526,1,526,1,526,1,526,1
0_0_0_10_14_32,-25.0,42,2,21,29,553,1000,553,0,553,0,553,0,553,0
0_0_0_10_14_32,-25.0,42,2,22,30,629,1000,629,0,629,0,629,0,629,0
0_0_0_10_14_32,-25.0,42,2,23,31,759,1001,759,0,759,0,759,0,972,1
0_0_0_10_14_32,-25.0,42,2,24,32,874,1002,874,0,874,0,874,0,874,0
0_0_0_10_14_32,-25.0,42,2,25,33,720,1000,720,0,720,0,720,0,720,0
0_0_0_10_14_32,-25.0,42,2,26,34,314,1000,314,0,314,0,314,0,314,0
0_0_0_10_14_32,-25.0,42,2,27,35,602,1000,222,1,222,1,222,1,222,1
0_0_0_10_14_32,-25.0,42,2,28,36,7,1000,7,0,7,0,7,0,7,0
0_0_0_10_14_32,-25.0,42,2,29,37,610,1000,610,0,610,0,610,0,610,0
0_0_0_10_14_32,-25.0,42,2,30,38,775,1000,775,0,775,0,775,0,775,0
0_0_0_10_14_32,-25.0,42,2,31,39,912,1000,422,1,422,1,422,1,296,1
0_0_0_10_14_32,-25.0,42,2,32,40,768,1000,768,0,768,0,768,0,768,0
0_0_0_10_14_32,-25.0,42,2,33,41,581,1000,581,0,581,0,581,0,581,0
0_0_0_10_14_32,-25.0,42,2,34,42,93,1000,93,0,93,0,93,0,93,0
0_0_0_10_14_32,-25.0,42,3,0,8,222,1001,222,0,222,0,222,0,222,0
0_0_0_10_14_32,-25.0,42,3,1,9,711,1002,711,0,711,0,711,0,711,0
0_0_0_10_14_32,-25.0,42,3,2,10,871,1000,248,1,248,1,248,1,248,1
0_0_0_10_14_32,-25.0,42,3,3,11,718,1000,718,0,718,0,718,0,718,0
0_0_0_10_14_32,-25.0,42,3,4,12,107,1000,107,0,107,0,107,0,107,0
0_0_0_10_14_32,-25.0,42,3,5,13,468,1000,637,1,637,1,637,1,637,1
0_0_0_10_14_32,-25.0,42,3,6,14,89,1000,795,1,795,1,795,1,795,1
0_0_0_10_14_32,-25.0,42,3,7,15,713,1000,713,0,713,0,713,0,713,0
0_0_0_10_14_32,-25.0,42,3,8,16,865,1000,865,0,865,0,865,0,865,0
0_0_0_10_14_32,-25.0,42,3,9,17,492,1000,492,0,492,0,492,0,492,0
0_0_0_10_14_32,-25.0,42,3,10,18,765,1000,765,0,765,0,765,0,765,0
0_0_0_10_14_32,-25.0,42,3,11,19,1023,1002,1023,0,1023,0,1023,0,1023,0
0_0_0_10_14_32,-25.0,42,3,12,20,597,1000,597,0,597,0,597,0,597,0
0_0_0_10_14_32,-25.0,42,3,13,21,562,1000,428,1,428,1,428,1,428,1
0_0_0_10_14_32,-25.0,42,3,14,22,478,1001,478,0,478,0,478,0,478,0
0_0_0_10_14_32,-25.0,42,3,15,23,267,1000,267,0,267,0,267,0,267,0
0_0_0_10_14_32,-25.0,42,3,16,24,917,1000,917,0,917,0,917,0,917,0
0_0_0_10_14_32,-25.0,42,3,17,25,656,1000,656,0,656,0,656,0,656,0
0_0_0_10_14_32,-25.0,42,3,18,26,889,1000,889,0,889,0,889,0,889,0
0_0_0_10_14_32,-25.0,42,3,19,27,510,1000,510,0,510,0,510,0,510,0
0_0_0_10_14_32,-25.0,42,3,20,28,860,1000,737,1,737,1,737,1,737,1
0_0_0_10_14_32,-25.0,42,3,21,29,553,1000,553,0,553,0,553,0,553,0
0_0_0_10_14_32,-25.0,42,3,22,30,629,1001,19,1,19,1,19,1,19,1
0_0_0_10_14_32,-25.0,42,3,23,31,759,1000,759,0,759,0,759,0,759,0
0_0_0_10_14_32,-25.0,42,3,24,32,874,1000,874,0,874,0,874,0,874,0
0_0_0_10_14_32,-25.0,42,3,25,33,720,1001,720,0,720,0,720,0,720,0
0_0_0_10_14_32,-25.0,42,3,26,34,314,1000,314,0,314,0,314,0,314,0
0_0_0_10_14_32,-25.0,42,3,27,35,602,1000,602,0,602,0,602,0,602,0
0_0_0_10_14_32,-25.0,42,3,28,36,7,1000,933,1,933,1,933,1,933,1
0_0_0_10_14_32,-25.0,42,3,29,37,610,1000,610,0,610,0,610,0,610,0
0_0_0_10_14_32,-25.0,42,3,30,38,778,1000,778,0,778,0,778,0,778,0
0_0_0_10_14_32,-25.0,42,3,31,39,897,1000,888,1,888,1,888,1,345,1
0_0_0_10_14_32,-25.0,42,3,32,40,740,1000,740,0,740,0,740,0,740,0
0_0_0_10_14_32,-25.0,42,3,33,41,590,1001,590,0,590,0,590,0,590,0
0_0_0_10_14_32,-25.0,42,3,34,42,930,1000,930,0,930,0,930,0,930,0
0_0_0_10_14_32,-25.0,42,4,0,8,803,1000,803,0,803,0,803,0,803,0
0_0_0_10_14_32,-25.0,42,4,1,9,711,1000,711,0,711,0,711,0,711,0
0_0_0_10_14_32,-25.0,42,4,2,10,871,1002,871,0,871,0,871,0,871,0
0_0_0_10_14_32,-25.0,42,4,3,11,718,1000,718,0,718,0,718,0,718,0
0_0_0_10_14_32,-25.0,42,4,4,12,86,1000,86,0,86,0,86,0,86,0
0_0_0_10_14_32,-25.0,42,4,5,13,468,1000,468,0,468,0,468,0,468,0
0_0_0_10_14_32,-25.0,42,4,6,14,89,1000,89,0,89,0,89,0,89,0
0_0_0_10_14_32,-25.0,42,4,7,15,713,1000,713,0,713,0,713,0,713,0
0_0_0_10_14_32,-25.0,42,4,8,16,865,1000,865,0,865,0,865,0,865,0
0_0_0_10_14_32,-25.0,42,4,9,17,492,1000,492,0,492,0,492,0,492,0
0_0_0_10_14_32,-25.0,42,4,10,18,765,1000,378,1,378,1,378,1,378,1
0_0_0_10_14_32,-25.0,42,4,11,19,1023,1000,1023,0,1023,0,1023,0,1023,0
0_0_0_10_14_32,-25.0,42,4,12,20,597,1000,597,0,597,0,597,0,597,0
0_0_0_10_14_32,-25.0,42,4,13,21,562,1000,562,0,562,0,562,0,562,0
0_0_0_10_14_32,-25.0,42,4,14,22,478,1000,478,0,478,0,478,0,478,0
0_0_0_10_14_32,-25.0,42,4,15,23,267,1000,267,0,267,0,267,0,267,0
0_0_0_10_14_32,-25.0,42,4,16,24,917,1001,917,0,917,0,917,0,917,0
0_0_0_10_14_32,-25.0,42,4,17,25,656,1000,656,0,656,0,656,0,656,0
0_0_0_10_14_32,-25.0,42,4,18,26,889,1000,889,0,889,0,889,0,889,0
0_0_0_10_14_32,-25.0,42,4,19,27,510,1000,510,0,510,0,510,0,510,0
0_0_0_10_14_32,-25.0,42,4,20,28,860,1000,844,1,844,1,844,1,844,1
0_0_0_10_14_32,-25.0,42,4,21,29,553,1000,553,0,553,0,553,0,553,0
0_0_0_10_14_32,-25.0,42,4,22,30,629,1002,629,0,629,0,629,0,629,0
0_0_0_10_14_32,-25.0,42,4,23,31,759,1000,759,0,759,0,759,0,759,0
0_0_0_10_14_32,-25.0,42,4,24,32,874,1000,874,0,874,0,874,0,874,0
0_0_0_10_14_32,-25.0,42,4,25,33,720,1000,507,1,741,1,507,1,507,1
0_0_0_10_14_32,-25.0,42,4,26,34,314,1000,314,0,314,0,314,0,314,0
0_0_0_10_14_32,-25.0,42,4,27,35,602,1000,602,0,602,0,602,0,602,0
0_0_0_10_14_32,-25.0,42,4,28,36,7,1001,7,0,7,0,7,0,7,0
0_0_0_10_14_32,-25.0,42,4,29,37,610,1000,610,0,610,0,610,0,610,0
0_0_0_10_14_32,-25.0,42,4,30,38,810,1000,810,0,810,0,810,0,810,0
0_0_0_10_14_32,-25.0,42,4,31,39,912,1000,912,0,912,0,912,0,912,0
0_0_0_10_14_32,-25.0,42,4,32,40,753,1000,753,0,753,0,753,0,753,0
0_0_0_10_14_32,-25.0,42,4,33,41,591,1000,591,0,591,0,591,0,591,0
0_0_0_10_14_32,-25.0,42,4,34,42,89,1000,89,0,89,0,89,0,89,0
0_0_0_10_14_32,-25.0,42,5,0,8,222,1000,222,0,222,0,222,0,222,0
0_0_0_10_14_32,-25.0,42,5,1,9,826,1000,264,1,264,1,264,1,264,1
0_0_0_10_14_32,-25.0,42,5,2,10,871,1000,871,0,871,0,871,0,871,0
0_0_0_10_14_32,-25.0,42,5,3,11,718,1001,718,0,718,0,718,0,718,0
0_0_0_10_14_32,-25.0,42,5,4,12,86,1000,86,0,86,0,86,0,86,0
0_0_0_10_14_32,-25.0,42,5,5,13,468,1000,468,0,468,0,468,0,468,0
0_0_0_10_14_32,-25.0,42,5,6,14,89,1000,89,0,89,0,89,0,89,0
0_0_0_10_14_32,-25.0,42,5,7,15,713,1000,222,1,222,1,222,1,222,1
0_0_0_10_14_32,-25.0,42,5,8,16,865,1000,865,0,865,0,865,0,865,0
0_0_0_10_14_32,-25.0,42,5,9,17,492,1000,492,0,492,0,492,0,492,0
0_0_0_10_14_32,-25.0,42,5,10,18,765,1000,765,0,765,0,765,0,765,0
0_0_0_10_14_32,-25.0,42,5,11,19,1023,1000,1023,0,1023,0,1023,0,1023,0
0_0_0_10_14_32,-25.0,42,5,12,20,597,1000,597,0,597,0,597,0,597,0
0_0_0_10_14_32,-25.0,42,5,13,21,562,1000,562,0,562,0,562,0,562,0
0_0_0_10_14_32,-25.0,42,5,14,22,478,1000,478,0,478,0,478,0,478,0
0_0_0_10_14_32,-25.0,42,5,15,23,267,1000,267,0,267,0,267,0,267,0
0_0_0_10_14_32,-25.0,42,5,16,24,917,1000,917,0,584,1,917,0,584,1
0_0_0_10_14_32,-25.0,42,5,17,25,656,1000,656,0,656,0,656,0,656,0
0_0_0_10_14_32,-25.0,42,5,18,26,889,1000,889,0,889,0,889,0,889,0
0_0_0_10_14_32,-25.0,42,5,19,27,510,1000,395,1,395,1,395,1,395,1
0_0_0_10_14_32,-25.0,42,5,20,28,860,1000,860,0,860,0,860,0,860,0
0_0_0_10_14_32,-25.0,42,5,21,29,553,1000,467,1,467,1,467,1,467,1
0_0_0_10_14_32,-25.0,42,5,22,30,629,1000,629,0,629,0,629,0,629,0
0_0_0_10_14_32,-25.0,42,5,23,31,759,1000,759,0,759,0,759,0,759,0
0_0_0_10_14_32,-25.0,42,5,24,32,874,1000,874,0,874,0,874,0,874,0
0_0_0_10_14_32,-25.0,42,5,25,33,720,1000,720,0,720,0,720,0,720,0
0_0_0_10_14_32,-25.0,42,5,26,34,314,1000,314,0,314,0,314,0,314,0
0_0_0_10_14_32,-25.0,42,5,27,35,602,1000,602,0,602,0,602,0,602,0
0_0_0_10_14_32,-25.0,42,5,28,36,7,1000,7,0,7,0,7,0,7,0
0_0_0_10_14_32,-25.0,42,5,29,37,610,1000,610,0,610,0,610,0,610,0
0_0_0_10_14_32,-25.0,42,5,30,38,823,1000,823,0,823,0,823,0,823,0
0_0_0_10_14_32,-25.0,42,5,31,39,913,1000,913,0,913,0,913,0,913,0
0_0_0_10_14_32,-25.0,42,5,32,40,741,1000,741,0,741,0,741,0,741,0
0_0_0_10_14_32,-25.0,42,5,33,41,581,1000,581,0,581,0,581,0,581,0
0_0_0_10_14_32,-25.0,42,5,34,42,91,1001,91,0,91,0,91,0,91,0
0_0_0_10_14_32,-25.0,42,6,0,8,803,1000,245,1,245,1,245,1,245,1
0_0_0_10_14_32,-25.0,42,6,1,9,826,1000,826,0,826,0,826,0,826,0
0_0_0_10_14_32,-25.0,42,6,2,10,871,1000,871,0,871,0,871,0,871,0
0_0_0_10_14_32,-25.0,42,6,3,11,718,1000,911,1,911,1,911,1,911,1
0_0_0_10_14_32,-25.0,42,6,4,12,107,1000,107,0,107,0,107,0,107,0
0_0_0_10_14_32,-25.0,42,6,5,13,468,1000,351,1,351,1,351,1,351,1
0_0_0_10_14_32,-25.0,42,6,6,14,89,1001,89,0,89,0,89,0,89,0
0_0_0_10_14_32,-25.0,42,6,7,15,713,1000,713,0,713,0,713,0,713,0
0_0_0_10_14_32,-25.0,42,6,8,16,865,1000,865,0,865,0,865,0,865,0
0_0_0_10_14_32,-25.0,42,6,9,17,492,1000,492,0,492,0,492,0,492,0
0_0_0_10_14_32,-25.0,42,6,10,18,765,1000,765,0,765,0,765,0,765,0
0_0_0_10_14_32,-25.0,42,6,11,19,1023,1002,985,1,985,1,985,1,985,1
0_0_0_10_14_32,-25.0,42,6,12,20,597,1000,597,0,597,0,597,0,597,0
0_0_0_10_14_32,-25.0,42,6,13,21,562,1000,562,0,562,0,562,0,562,0
0_0_0_10_14_32,-25.0,42,6,14,22,478,1000,478,0,478,0,478,0,478,0
0_0_0_10_14_32,-25.0,42,6,15,23,267,1000,267,0,267,0,267,0,267,0
0_0_0_10_14_32,-25.0,42,6,16,24,917,1000,917,0,917,0,917,0,917,0
0_0_0_10_14_32,-25.0,42,6,17,25,656,1000,656,0,656,0,656,0,656,0
0_0_0_10_14_32,-25.0,42,6,18,26,889,1000,455,1,455,1,455,1,455,1
0_0_0_10_14_32,-25.0,42,6,19,27,510,1000,510,0,510,0,510,0,510,0
0_0_0_10_14_32,-25.0,42,6,20,28,860,1000,649,1,649,1,649,1,649,1
0_0_0_10_14_32,-25.0,42,6,21,29,553,1000,262,1,262,1,262,1,262,1
0_0_0_10_14_32,-25.0,42,6,22,30,629,1000,629,0,629,0,629,0,629,0
0_0_0_10_14_32,-25.0,42,6,23,31,759,1001,759,0,759,0,759,0,759,0
0_0_0_10_14_32,-25.0,42,6,24,32,874,1000,186,1,186,1,186,1,186,1
0_0_0_10_14_32,-25.0,42,6,25,33,720,1000,720,0,720,0,720,0,720,0
0_0_0_10_14_32,-25.0,42,6,26,34,314,1000,314,0,314,0,314,0,314,0
0_0_0_10_14_32,-25.0,42,6,27,35,602,1000,602,0,602,0,602,0,602,0
0_0_0_10_14_32,-25.0,42,6,28,36,7,1000,7,0,7,0,7,0,7,0
0_0_0_10_14_32,-25.0,42,6,29,37,610,1002,166,1,166,1,166,1,166,1
0_0_0_10_14_32,-25.0,42,6,30,38,791,1000,791,0,791,0,791,0,791,0
0_0_0_10_14_32,-25.0,42,6,31,39,928,1002,928,0,928,0,928,0,928,0
0_0_0_10_14_32,-25.0,42,6,32,40,760,1000,760,0,760,0,760,0,760,0
0_0_0_10_14_32,-25.0,42,6,33,41,584,1000,584,0,584,0,584,0,584,0
0_0_0_10_14_32,-25.0,42,6,34,42,932,1000,932,0,932,0,932,0,932,0
0_0_0_10_14_32,-25.0,42,7,0,8,222,1000,222,0,222,0,222,0,222,0
0_0_0_10_14_32,-25.0,42,7,1,9,711,1000,711,0,711,0,711,0,711,0
0_0_0_10_14_32,-25.0,42,7,2,10,922,1000,800,1,800,1,800,1,800,1
0_0_0_10_14_32,-25.0,42,7,3,11,691,1000,691,0,691,0,691,0,691,0
0_0_0_10_14_32,-25.0,42,7,4,12,107,1000,107,0,107,0,107,0,107,0
0_0_0_10_14_32,-25.0,42,7,5,13,468,1002,467,1,467,1,467,1,467,1
0_0_0_10_14_32,-25.0,42,7,6,14,89,1000,89,0,89,0,89,0,89,0
0_0_0_10_14_32,-25.0,42,7,7,15,713,1000,713,0,713,0,713,0,713,0
0_0_0_10_14_32,-25.0,42,7,8,16,865,1000,865,0,865,0,865,0,865,0
0_0_0_10_14_32,-25.0,42,7,9,17,492,1000,492,0,492,0,492,0,492,0
0_0_0_10_14_32,-25.0,42,7,10,18,765,1000,765,0,765,0,765,0,765,0
0_0_0_10_14_32,-25.0,42,7,11,19,1023,1001,1023,0,1023,0,1023,0,1023,0
0_0_0_10_14_32,-25.0,42,7,12,20,597,1000,597,0,597,0,597,0,597,0
0_0_0_10_14_32,-25.0,42,7,13,21,562,1001,562,0,562,0,562,0,562,0
0_0_0_10_14_32,-25.0,42,7,14,22,478,1002,478,0,478,0,478,0,478,0
0_0_0_10_14_32,-25.0,42,7,15,23,267,1000,137,1,137,1,137,1,137,1
0_0_0_10_14_32,-25.0,42,7,16,24,917,1000,917,0,917,0,917,0,917,0
0_0_0_10_14_32,-25.0,42,7,17,25,656,1000,656,0,656,0,656,0,656,0
0_0_0_10_14_32,-25.0,42,7,18,26,889,1000,889,0,889,0,889,0,889,0
0_0_0_10_14_32,-25.0,42,7,19,27,510,1002,510,0,510,0,510,0,510,0
0_0_0_10_14_32,-25.0,42,7,20,28,860,1000,860,0,860,0,860,0,860,0
0_0_0_10_14_32,-25.0,42,7,21,29,553,1000,125,1,125,1,125,1,125,1
0_0_0_10_14_32,-25.0,42,7,22,30,629,1000,629,0,629,0,629,0,629,0
